climate,policy,metric,country,delta_median,delta_lo,delta_hi,cost_median,per_dollar_median,per_dollar_lo,per_dollar_hi,share_finite
ssp585,transfer,p_below_theta,Ethiopia,-0.048880018293857574,-0.04921597242355347,-0.04865235090255737,1.9856468439102173,-0.024616672619185917,-0.024785863898454046,-0.02450201608194797,1.0
ssp585,transfer,p_below_theta,Malawi,-0.05717387795448303,-0.057357653975486755,-0.056992799043655396,1.9123499393463135,-0.029897183971478787,-0.029993283548874407,-0.02980249475843155,1.0
ssp585,transfer,p_below_theta,Mali,-0.06495579332113266,-0.06566590070724487,-0.06433914601802826,12.995691299438477,-0.004998256100769283,-0.005052897856236566,-0.00495080596603647,1.0
ssp585,transfer,p_below_theta,Nigeria,-0.058763280510902405,-0.059156984090805054,-0.058396682143211365,10.273679733276367,-0.0057197890178110776,-0.005758110591981571,-0.005684105759503576,1.0
ssp585,transfer,p_below_theta,Tanzania,-0.06143774837255478,-0.06159530580043793,-0.061270758509635925,2.602651596069336,-0.023605828942045628,-0.023666366214157308,-0.023541667506388603,1.0
ssp585,transfer,p_below_theta,Uganda,-0.044658362865448,-0.04475986957550049,-0.04455399513244629,2.545980930328369,-0.017540729521366906,-0.017580598912705744,-0.017499736389109528,1.0
ssp585,transfer,switch_share,Ethiopia,0.06440774723887444,0.06349916756153107,0.0652698427438736,1.9856468439102173,0.03243665782583979,0.03197908417414544,0.03287082138702043,1.0
ssp585,transfer,switch_share,Malawi,0.022916289046406746,0.02131587639451027,0.024825001135468483,1.9123499393463135,0.011983313605375006,0.011146430868085023,0.012981411312175561,1.0
ssp585,transfer,switch_share,Mali,0.06508395820856094,0.06298227608203888,0.06662986427545547,12.995691299438477,0.005008118206945491,0.0048463967503414185,0.005127073484604428,1.0
ssp585,transfer,switch_share,Nigeria,0.098084457218647,0.0962369367480278,0.09994997829198837,10.273679733276367,0.009547159320233842,0.009367328868187036,0.009728741880891146,1.0
ssp585,transfer,switch_share,Tanzania,0.06000543385744095,0.058055438101291656,0.06200334429740906,2.602651596069336,0.023055499993954003,0.02230626572875528,0.023823144208410314,1.0
ssp585,transfer,switch_share,Uganda,0.06124437227845192,0.060385990887880325,0.062183983623981476,2.545980930328369,0.024055314613276736,0.02371816307362994,0.024424371323143127,1.0
ssp585,transfer,cv_log,Ethiopia,0.12845686078071594,0.10937362909317017,0.14626970887184143,1.9856468439102173,0.06469270261964279,0.05508211564841366,0.07366350633821728,1.0
ssp585,transfer,cv_log,Mali,0.49707746133208275,0.4712090939283371,0.5310121979564428,12.995691299438477,0.038249405120415615,0.036258870965078814,0.040860634938241956,1.0
ssp585,transfer,cv_log,Nigeria,0.32483672723174095,0.3126954436302185,0.33580252528190613,10.273679733276367,0.031618342761804946,0.030436557469997867,0.032685710865041316,1.0
ssp585,transfer,cv_log,Tanzania,-23.870333671569824,-88.77020645141602,-3.396809458732605,2.602651596069336,-9.171544015964367,-34.107602640891905,-1.3051341423733582,1.0
ssp585,transfer,cv_log,Uganda,0.5304412469267845,0.5071319341659546,0.5541828125715256,2.545980930328369,0.2083445483067191,0.19918921156276964,0.2176696635744438,1.0
ssp585,transfer,cv_pct,Ethiopia,0.13707236840357384,0.11557908528644512,0.1575083362218479,1.9856468439102173,0.06903159482964519,0.058207271671150765,0.07932343896141976,1.0
ssp585,transfer,cv_pct,Mali,0.6439098540534518,0.6019299064755081,0.7006528350392363,12.995691299438477,0.04954794933312044,0.04631765195142151,0.05391424118157611,1.0
ssp585,transfer,cv_pct,Nigeria,0.3838046904002941,0.36710510705002375,0.39906271801418947,10.273679733276367,0.03735805479288533,0.035732582344471304,0.038843211816466154,1.0
ssp585,transfer,cv_pct,Tanzania,-0.999999999957022,-1.0,-0.9841885220138935,2.602651596069336,-0.384223536284025,-0.3842235363005381,-0.3781483943145782,1.0
ssp585,transfer,cv_pct,Uganda,0.6996821479863736,0.6605218728001652,0.7405180739717678,2.545980930328369,0.2748182987749762,0.259437085695286,0.2908576671374593,1.0
ssp585,transfer,ce_rho2.5,Ethiopia,2.5260372161865234,2.5155906677246094,2.5347023010253906,1.9856468439102173,1.2721482795058094,1.2668872490794008,1.2765121395071195,1.0
