climate,policy,country,metric,median,hpdi_lo,hpdi_hi,n_draws,share_finite
ssp245,insurance,Tanzania,cost,0.22104644775390625,0.22104644775390625,0.22104644775390625,200.0,1.0
ssp245,insurance,Tanzania,cost_behav,1.0516580939292908,1.046331763267517,1.056074857711792,200.0,1.0
ssp245,insurance,Tanzania,cv_log,-15.005022048950195,-55.3775520324707,-2.1986255645751953,200.0,0.065
ssp245,insurance,Tanzania,cv_pct,-0.9999997019767761,-1.0,-0.8937610387802124,200.0,0.065
ssp245,insurance,Tanzania,exp_income,79.40158081054688,78.99459075927734,79.83247375488281,200.0,1.0
ssp245,insurance,Tanzania,exp_median,38.75779724121094,38.59342575073242,38.98250198364258,200.0,1.0
ssp245,insurance,Tanzania,exp_shortfall,4.69333663204452e-05,4.63545584352687e-05,4.7607692977180704e-05,200.0,1.0
ssp245,insurance,Tanzania,logsum,-4.301527261734009,-4.819110870361328,-3.823155403137207,200.0,1.0
ssp245,insurance,Tanzania,p_below_theta,0.019500616937875748,0.01942623220384121,0.019573604688048363,200.0,1.0
ssp245,insurance,Tanzania,payout,1.1052322387695312,1.1052322387695312,1.1052322387695312,200.0,1.0
ssp245,insurance,Tanzania,premium,1.3262786865234375,1.3262786865234375,1.3262786865234375,200.0,1.0
ssp245,insurance,Tanzania,switch_share,0.10005165636539459,0.09672011435031891,0.10332909971475601,200.0,1.0
ssp245,insurance,Uganda,ce_rho1.5,22.622661590576172,22.601646423339844,22.652666091918945,200.0,1.0
ssp245,insurance,Uganda,ce_rho2.5,12.819157600402832,12.802216529846191,12.833969116210938,200.0,1.0
ssp245,insurance,Uganda,ce_rho3.5,7.832032203674316,7.81935977935791,7.845276832580566,200.0,1.0
ssp245,insurance,Uganda,cost,0.5106402635574341,0.5106402635574341,0.5106402635574341,200.0,1.0
ssp245,insurance,Uganda,cost_behav,2.3654452562332153,2.3635849952697754,2.367556571960449,200.0,1.0
ssp245,insurance,Uganda,cv_log,0.8050104975700378,0.7717021703720093,0.8303903341293335,200.0,1.0
ssp245,insurance,Uganda,cv_pct,1.2367200255393982,1.1634457111358643,1.294214129447937,200.0,1.0
ssp245,insurance,Uganda,exp_income,49.791826248168945,49.7119026184082,49.88212203979492,200.0,1.0
ssp245,insurance,Uganda,exp_median,31.105740547180176,31.067554473876953,31.14633560180664,200.0,1.0
ssp245,insurance,Uganda,exp_shortfall,0.34231574833393097,0.3420199155807495,0.3427000045776367,200.0,1.0
ssp245,insurance,Uganda,logsum,1.3593528270721436,1.17450749874115,1.5464762449264526,200.0,1.0
ssp245,insurance,Uganda,p_below_theta,0.31256072223186493,0.31235215067863464,0.31279534101486206,200.0,1.0
ssp245,insurance,Uganda,payout,2.553201198577881,2.553201198577881,2.553201198577881,200.0,1.0
ssp245,insurance,Uganda,premium,3.0638415813446045,3.0638415813446045,3.0638415813446045,200.0,1.0
ssp245,insurance,Uganda,switch_share,0.06475529819726944,0.06391662359237671,0.06562906503677368,200.0,1.0
ssp245,none,Ethiopia,ce_rho1.5,30.394951820373535,30.320701599121094,30.49250030517578,200.0,1.0
ssp245,none,Ethiopia,ce_rho2.5,17.863906860351562,17.813610076904297,17.926189422607422,200.0,1.0
ssp245,none,Ethiopia,ce_rho3.5,11.458968162536621,11.417401313781738,11.510883331298828,200.0,1.0
ssp245,none,Ethiopia,cost,0.0,0.0,0.0,200.0,1.0
ssp245,none,Ethiopia,cost_behav,0.0,0.0,0.0,200.0,1.0
ssp245,none,Ethiopia,cv_log,-0.23400652408599854,-0.24718184769153595,-0.21589700877666473,200.0,1.0
ssp245,none,Ethiopia,cv_pct,-0.208643339574337,-0.21900133788585663,-0.19418171048164368,200.0,1.0
ssp245,none,Ethiopia,exp_income,69.22725296020508,69.03353881835938,69.47445678710938,200.0,1.0
ssp245,none,Ethiopia,exp_median,42.021738052368164,41.91086196899414,42.15562438964844,200.0,1.0
ssp245,none,Ethiopia,exp_shortfall,0.7027439475059509,0.6999347805976868,0.7044825553894043,200.0,1.0
ssp245,none,Ethiopia,logsum,1.4510585069656372,1.3649725914001465,1.545792818069458,200.0,1.0
ssp245,none,Ethiopia,p_below_theta,0.2689371407032013,0.26835834980010986,0.269422322511673,200.0,1.0
ssp245,none,Ethiopia,payout,0.0,0.0,0.0,200.0,1.0
ssp245,none,Ethiopia,premium,0.0,0.0,0.0,200.0,1.0
ssp245,none,Ethiopia,switch_share,0.0,0.0,0.0,200.0,1.0
ssp245,none,Malawi,ce_rho1.5,25.7008113861084,25.562984466552734,25.81743812561035,200.0,1.0
ssp245,none,Malawi,ce_rho2.5,14.599467277526855,14.514892578125,14.676677703857422,200.0,1.0
ssp245,none,Malawi,ce_rho3.5,8.785816192626953,8.736595153808594,8.844547271728516,200.0,1.0
ssp245,none,Malawi,cost,0.0,0.0,0.0,200.0,1.0
ssp245,none,Malawi,cost_behav,0.0,0.0,0.0,200.0,1.0
ssp245,none,Malawi,cv_log,,,,200.0,0.0
ssp245,none,Malawi,cv_pct,,,,200.0,0.0
ssp245,none,Malawi,exp_income,58.425113677978516,58.15457534790039,58.6611442565918,200.0,1.0
ssp245,none,Malawi,exp_median,35.80302619934082,35.65275573730469,35.9848747253418,200.0,1.0
ssp245,none,Malawi,exp_shortfall,0.4156796932220459,0.41390860080718994,0.41722023487091064,200.0,1.0
ssp245,none,Malawi,logsum,-4.188330411911011,-4.606041431427002,-3.8159408569335938,200.0,1.0
ssp245,none,Malawi,p_below_theta,0.22580523788928986,0.22529396414756775,0.22636011242866516,200.0,1.0
ssp245,none,Malawi,payout,0.0,0.0,0.0,200.0,1.0
ssp245,none,Malawi,premium,0.0,0.0,0.0,200.0,1.0
ssp245,none,Malawi,switch_share,0.0,0.0,0.0,200.0,1.0
ssp245,none,Mali,ce_rho1.5,122.17026138305664,121.57554626464844,122.65604400634766,200.0,1.0
ssp245,none,Mali,ce_rho2.5,86.63156509399414,86.20111083984375,87.03767395019531,200.0,1.0
ssp245,none,Mali,ce_rho3.5,62.76194381713867,62.434871673583984,63.06970977783203,200.0,1.0
ssp245,none,Mali,cost,0.0,0.0,0.0,200.0,1.0
ssp245,none,Mali,cost_behav,0.0,0.0,0.0,200.0,1.0
ssp245,none,Mali,cv_log,-0.5284965932369232,-0.5445141196250916,-0.5127235054969788,200.0,1.0
ssp245,none,Mali,cv_pct,-0.4105094373226166,-0.41987642645835876,-0.40113765001296997,200.0,1.0
ssp245,none,Mali,exp_income,188.2843475341797,187.32875061035156,188.99659729003906,200.0,1.0
ssp245,none,Mali,exp_median,146.74968719482422,146.0670928955078,147.36224365234375,200.0,1.0
ssp245,none,Mali,exp_shortfall,4.4843761920928955,4.46491813659668,4.510435581207275,200.0,1.0
ssp245,none,Mali,logsum,3.823548197746277,3.474095344543457,4.21018123626709,200.0,1.0
ssp245,none,Mali,p_below_theta,0.2775272876024246,0.27666398882865906,0.27861765027046204,200.0,1.0
ssp245,none,Mali,payout,0.0,0.0,0.0,200.0,1.0
ssp245,none,Mali,premium,0.0,0.0,0.0,200.0,1.0
ssp245,none,Mali,switch_share,0.0,0.0,0.0,200.0,1.0
ssp245,none,Nigeria,ce_rho1.5,90.85609436035156,90.7029037475586,91.00074005126953,200.0,1.0
ssp245,none,Nigeria,ce_rho2.5,52.78920936584473,52.69406509399414,52.89815902709961,200.0,1.0
ssp245,none,Nigeria,ce_rho3.5,32.62611961364746,32.551700592041016,32.7056770324707,200.0,1.0
ssp245,none,Nigeria,cost,0.0,0.0,0.0,200.0,1.0
ssp245,none,Nigeria,cost_behav,0.0,0.0,0.0,200.0,1.0
ssp245,none,Nigeria,cv_log,-0.19276349991559982,-0.1978081613779068,-0.18803726136684418,200.0,1.0
ssp245,none,Nigeria,cv_pct,-0.1753230169415474,-0.17947275936603546,-0.17141616344451904,200.0,1.0
ssp245,none,Nigeria,exp_income,191.2114486694336,190.7478485107422,191.63259887695312,200.0,1.0
ssp245,none,Nigeria,exp_median,123.6560287475586,123.47429656982422,123.9072494506836,200.0,1.0
ssp245,none,Nigeria,exp_shortfall,3.2417454719543457,3.2339165210723877,3.249544858932495,200.0,1.0
ssp245,none,Nigeria,logsum,5.053966283798218,4.815021514892578,5.261677265167236,200.0,1.0
ssp245,none,Nigeria,p_below_theta,0.2626488506793976,0.26224854588508606,0.26305481791496277,200.0,1.0
ssp245,none,Nigeria,payout,0.0,0.0,0.0,200.0,1.0
ssp245,none,Nigeria,premium,0.0,0.0,0.0,200.0,1.0
ssp245,none,Nigeria,switch_share,0.0,0.0,0.0,200.0,1.0
ssp245,none,Tanzania,ce_rho1.5,23.796607971191406,23.698726654052734,23.922536849975586,200.0,1.0
ssp245,none,Tanzania,ce_rho2.5,9.67631483078003,9.621931076049805,9.737988471984863,200.0,1.0
ssp245,none,Tanzania,ce_rho3.5,4.30314826965332,4.26601505279541,4.334644794464111,200.0,1.0
ssp245,none,Tanzania,cost,0.0,0.0,0.0,200.0,1.0
ssp245,none,Tanzania,cost_behav,0.0,0.0,0.0,200.0,1.0
ssp245,none,Tanzania,cv_log,-3.745006561279297,-13.713668823242188,-0.525238037109375,200.0,0.065
ssp245,none,Tanzania,cv_pct,-0.9763645529747009,-1.0,-0.5228554010391235,200.0,0.065
ssp245,none,Tanzania,exp_income,81.4798355102539,81.10899353027344,81.82618713378906,200.0,1.0
ssp245,none,Tanzania,exp_median,39.92449188232422,39.75630187988281,40.097137451171875,200.0,1.0
ssp245,none,Tanzania,exp_shortfall,0.48421047627925873,0.4826863408088684,0.48561570048332214,200.0,1.0
ssp245,none,Tanzania,logsum,-4.196082353591919,-4.7487592697143555,-3.6802985668182373,200.0,1.0
ssp245,none,Tanzania,p_below_theta,0.2260335087776184,0.2256004959344864,0.22648321092128754,200.0,1.0
ssp245,none,Tanzania,payout,0.0,0.0,0.0,200.0,1.0
ssp245,none,Tanzania,premium,0.0,0.0,0.0,200.0,1.0
ssp245,none,Tanzania,switch_share,0.0,0.0,0.0,200.0,1.0
ssp245,none,Uganda,ce_rho1.5,22.756793975830078,22.733692169189453,22.786293029785156,200.0,1.0
ssp245,none,Uganda,ce_rho2.5,12.11440372467041,12.092575073242188,12.136086463928223,200.0,1.0
ssp245,none,Uganda,ce_rho3.5,6.7190821170806885,6.702980995178223,6.738126277923584,200.0,1.0
ssp245,none,Uganda,cost,0.0,0.0,0.0,200.0,1.0
ssp245,none,Uganda,cost_behav,0.0,0.0,0.0,200.0,1.0
ssp245,none,Uganda,cv_log,-0.19773735851049423,-0.21578650176525116,-0.17511503398418427,200.0,1.0
ssp245,none,Uganda,cv_pct,-0.17941465228796005,-0.19409266114234924,-0.16063953936100006,200.0,1.0
ssp245,none,Uganda,exp_income,50.875492095947266,50.79372787475586,50.956180572509766,200.0,1.0
ssp245,none,Uganda,exp_median,32.030385971069336,31.995460510253906,32.072174072265625,200.0,1.0
ssp245,none,Uganda,exp_shortfall,1.5629440546035767,1.561910629272461,1.5637836456298828,200.0,1.0
ssp245,none,Uganda,logsum,0.45168478786945343,0.2593485116958618,0.6563892364501953,200.0,1.0
ssp245,none,Uganda,p_below_theta,0.3332359045743942,0.3330444097518921,0.3333762586116791,200.0,1.0
ssp245,none,Uganda,payout,0.0,0.0,0.0,200.0,1.0
ssp245,none,Uganda,premium,0.0,0.0,0.0,200.0,1.0
ssp245,none,Uganda,switch_share,0.0,0.0,0.0,200.0,1.0
ssp245,safety_net,Ethiopia,ce_rho1.5,32.97869110107422,32.8909797668457,33.0620231628418,200.0,1.0
ssp245,safety_net,Ethiopia,ce_rho2.5,22.00225830078125,21.958913803100586,22.04787826538086,200.0,1.0
ssp245,safety_net,Ethiopia,ce_rho3.5,15.83166217803955,15.795379638671875,15.87999439239502,200.0,1.0
ssp245,safety_net,Ethiopia,cost,1.9400118589401245,1.9400118589401245,1.9400118589401245,200.0,1.0
ssp245,safety_net,Ethiopia,cost_behav,2.2953948974609375,2.2868618965148926,2.3048510551452637,200.0,1.0
ssp245,safety_net,Ethiopia,cv_log,1.218301773071289,1.142863392829895,1.2678693532943726,200.0,1.0
ssp245,safety_net,Ethiopia,cv_pct,2.3814404010772705,2.1357343196868896,2.5532736778259277,200.0,1.0
ssp245,safety_net,Ethiopia,exp_income,65.3668441772461,65.12066650390625,65.65070343017578,200.0,1.0
ssp245,safety_net,Ethiopia,exp_median,42.00770568847656,41.88337326049805,42.15363311767578,200.0,1.0
ssp245,safety_net,Ethiopia,exp_shortfall,0.0,0.0,0.0,200.0,1.0
ssp245,safety_net,Ethiopia,logsum,2.041797399520874,1.9697688817977905,2.1134896278381348,200.0,1.0
ssp245,safety_net,Ethiopia,p_below_theta,0.0,0.0,0.0,200.0,1.0
ssp245,safety_net,Ethiopia,payout,0.0,0.0,0.0,200.0,1.0
ssp245,safety_net,Ethiopia,premium,0.0,0.0,0.0,200.0,1.0
ssp245,safety_net,Ethiopia,switch_share,0.1580229103565216,0.1561352014541626,0.16035416722297668,200.0,1.0
ssp245,safety_net,Malawi,ce_rho1.5,28.368138313293457,28.240121841430664,28.507265090942383,200.0,1.0
ssp245,safety_net,Malawi,ce_rho2.5,18.48208713531494,18.40723419189453,18.56586456298828,200.0,1.0
ssp245,safety_net,Malawi,ce_rho3.5,12.419387340545654,12.36871337890625,12.46861457824707,200.0,1.0
ssp245,safety_net,Malawi,cost,1.392106294631958,1.392106294631958,1.392106294631958,200.0,1.0
