climate,policy,country,crop,delta_share_median,delta_lo,delta_hi,base_share_median
baseline,transfer,Malawi,wheat_barley,0.0,0.0,0.0,0.0
baseline,transfer,Mali,maize,0.001775503158569336,0.00123528391122818,0.0023028552532196045,0.15205582976341248
baseline,transfer,Mali,tree_crops,-0.00721031310968101,-0.007770167198032141,-0.006658828817307949,0.18448114464990795
baseline,transfer,Mali,tubers,-0.0007407570956274867,-0.000855298014357686,-0.0005957270041108131,0.006133521150331944
baseline,transfer,Mali,legumes,0.0038564554415643215,0.0030379074160009623,0.004617986967787147,0.050885338918305933
baseline,transfer,Mali,sorghum_millet,0.026548966765403748,0.02532993257045746,0.027554169297218323,0.4340849369764328
baseline,transfer,Mali,teff,0.0,0.0,0.0,0.0
baseline,transfer,Mali,other,-0.00818056846037507,-0.008576622232794762,-0.007462101988494396,0.05913722142577171
baseline,transfer,Mali,rice,-0.016039473935961723,-0.016632258892059326,-0.015570854768157005,0.11286686919629574
baseline,transfer,Mali,wheat_barley,0.0,0.0,0.0,0.0
baseline,transfer,Nigeria,maize,0.024851901456713676,0.024331234395503998,0.02567853033542633,0.16255632415413857
baseline,transfer,Nigeria,tree_crops,-0.007958763977512717,-0.008262643590569496,-0.007558864541351795,0.04676481056958437
baseline,transfer,Nigeria,tubers,-0.06658800970762968,-0.06754399836063385,-0.06537906639277935,0.3071940317749977
baseline,transfer,Nigeria,legumes,0.016065659001469612,0.015611231327056885,0.016553593799471855,0.13231385126709938
baseline,transfer,Nigeria,sorghum_millet,0.04129135608673096,0.040528714656829834,0.042134858667850494,0.2525235004723072
baseline,transfer,Nigeria,teff,0.0,0.0,0.0,0.0
baseline,transfer,Nigeria,other,-0.0010529966093599796,-0.0012520011514425278,-0.0009148139506578445,0.05310905305668712
baseline,transfer,Nigeria,rice,-0.006606799550354481,-0.00690041109919548,-0.006342701613903046,0.04558158293366432
baseline,transfer,Nigeria,wheat_barley,1.8540260498411953e-05,8.465904102195054e-06,2.8688518796116114e-05,0.00016407448129029945
baseline,transfer,Tanzania,maize,0.02915002778172493,0.028159767389297485,0.030166007578372955,0.29091310128569603
baseline,transfer,Tanzania,tree_crops,-0.005597395356744528,-0.005977060296572745,-0.0053429813124239445,0.053043418331071734
baseline,transfer,Tanzania,tubers,0.0015579286264255643,0.001420091139152646,0.001730332849547267,0.10385755798779428
