country,action,pred_median,pred_lo,pred_hi,obs_share,label,abs_diff
Mali,3,0.08596645295619965,0.08264145255088806,0.09001724421977997,0.08631911116954835,tree_crops_low,0.0003526582133487055
Mali,4,0.0927625298500061,0.08963864296674728,0.09693141281604767,0.09217014003024128,tree_crops_medium,0.0005923898197648242
Mali,5,0.005844394909217954,0.004939364735037088,0.006680502090603113,0.005785286963381763,tree_crops_high,5.91079458361907e-05
Mali,6,0.0019922060891985893,0.0014457537326961756,0.0025240641552954912,0.0020379988166458482,tubers_low,4.579272744725891e-05
Mali,7,0.003153301542624831,0.0025923396460711956,0.003917915280908346,0.00328709486555782,tubers_medium,0.00013379332293298862
Mali,8,0.0009354845678899437,0.0005312935099937022,0.0012779782991856337,0.0009203865623561896,tubers_high,1.5098005533754075e-05
Mali,9,0.023017275147140026,0.02087206020951271,0.025001462548971176,0.022943922161593584,legumes_low,7.335298554644182e-05
Mali,10,0.02445930242538452,0.0220610573887825,0.025966333225369453,0.024324502005127868,legumes_medium,0.00013480042025665329
Mali,11,0.003244358696974814,0.002597251208499074,0.00393974594771862,0.00328709486555782,legumes_high,4.273616858300588e-05
Mali,12,0.14466838538646698,0.14013779163360596,0.14826714992523193,0.1447636578791664,sorghum_millet_low,9.52724926994164e-05
Mali,13,0.14438112080097198,0.14001323282718658,0.14788901805877686,0.14482939977647755,sorghum_millet_medium,0.0004482789755055616
Mali,14,0.1450265422463417,0.13934294879436493,0.14901874959468842,0.1447636578791664,sorghum_millet_high,0.00026288436717530894
Mali,15,0.0,0.0,0.0,0.0,teff_low,0.0
Mali,16,0.0,0.0,0.0,0.0,teff_medium,0.0
Mali,17,0.0,0.0,0.0,0.0,teff_high,0.0
Mali,18,0.01667792536318302,0.015016292221844196,0.0183502659201622,0.016698441917033725,other_low,2.0516553850703084e-05
Mali,19,0.02690486330538988,0.024641383439302444,0.028781216591596603,0.026954177897574125,other_medium,4.9314592184244305e-05
Mali,20,0.015364019200205803,0.013506349176168442,0.016849471256136894,0.015383603970810598,other_high,1.9584770604794827e-05
Mali,21,0.03745982050895691,0.034881871193647385,0.039617717266082764,0.037670107159292615,rice_low,0.00021028665033570593
Mali,22,0.03780665621161461,0.035689570009708405,0.04041976481676102,0.03773584905660377,rice_medium,7.080715501083662e-05
Mali,23,0.037760037928819656,0.03571480140089989,0.03973160684108734,0.037670107159292615,rice_high,8.993076952704127e-05
Mali,24,0.0,0.0,0.0,0.0,wheat_barley_low,0.0
Mali,25,0.0,0.0,0.0,0.0,wheat_barley_medium,0.0
Mali,26,0.0,0.0,0.0,0.0,wheat_barley_high,0.0
Nigeria,0,0.05418297089636326,0.05249425396323204,0.0560310073196888,0.05412558259362484,maize_low,5.7388302738416164e-05
Nigeria,1,0.05405960604548454,0.05237490311264992,0.055716440081596375,0.05410216174438485,maize_medium,4.255569890030536e-05
Nigeria,2,0.05427856557071209,0.05245783552527428,0.055810414254665375,0.05412558259362484,maize_high,0.00015298297708724734
Nigeria,3,0.02210555039346218,0.021157575771212578,0.023227399215102196,0.022062439984073822,tree_crops_low,4.3110409388359e-05
Nigeria,4,0.02175511885434389,0.020727574825286865,0.0231306292116642,0.02182823149167389,tree_crops_medium,7.311263732999798e-05
Nigeria,5,0.002853280631825328,0.0023557038512080908,0.0032034071628004313,0.0028573436072792,tree_crops_high,4.062975453872179e-06
Nigeria,6,0.12221189588308334,0.11939563602209091,0.12441356480121613,0.12218657048504579,tubers_low,2.532539803755396e-05
Nigeria,7,0.1507585197687149,0.14778302609920502,0.15321138501167297,0.15064290231163782,tubers_medium,0.00011561745707708293
