country,metric,param,S1,S1_lo,S1_hi,ST,ST_lo,ST_hi,n_ok
Malawi,d_pbelow_contraction,lam,0.942906379699707,0.4171923100948334,1.4248064756393433,0.9649512767791748,0.8224132657051086,1.1090883016586304,128
Malawi,d_pbelow_contraction,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_contraction,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_contraction,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_contraction,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_contraction,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_pbelow_contraction,theta,0.04193781688809395,-0.1150967925786972,0.14855767786502838,0.04703107848763466,0.03648233413696289,0.05918508768081665,128
Malawi,d_expinc_contraction,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_contraction,lam,0.9953723549842834,0.5297473073005676,1.5508910417556763,0.9954542517662048,0.88016676902771,1.12558913230896,128
Malawi,d_expinc_contraction,f,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_contraction,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_contraction,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_contraction,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_contraction,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,d_expinc_contraction,theta,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_safety_net,t,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_safety_net,lam,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_safety_net,f,0.9974903464317322,0.06802786886692047,1.853515625,0.9975442886352539,0.8692982196807861,1.1290887594223022,128
Malawi,switch_safety_net,f_both,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_safety_net,trigger,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_safety_net,basis,0.0,0.0,0.0,0.0,0.0,0.0,128
Malawi,switch_safety_net,loading,0.0,0.0,0.0,0.0,0.0,0.0,128
